,name,region,region_code,outcome,majority,registered,turnout,turnout_delta
253,Gainsborough,England,E14000707,CON HOLD,"22,967","76,343",66.9%,-0.9
254,Garston & Halewood,England,E14000708,LAB HOLD,"31,624","76,116",70.1%,-1.1
255,Gateshead,England,E14000709,LAB HOLD,"7,200","64,449",59.2%,-5.4
256,Gedling,England,E14000710,CON GAIN FROM LAB,679,"71,438",69.9%,-2.6
257,Gillingham & Rainham,England,E14000711,CON HOLD,"15,119","73,549",62.5%,-4.5
258,Glasgow Central,Scotland,S14000029,SNP HOLD,"6,474","69,230",57.9%,+2.0
259,Glasgow East,Scotland,S14000030,SNP HOLD,"5,566","67,381",57.1%,+2.5
260,Glasgow North,Scotland,S14000031,SNP HOLD,"5,601","57,130",63.3%,+1.2
261,Glasgow North East,Scotland,S14000032,SNP GAIN FROM LAB,"2,548","61,075",55.5%,+2.5
262,Glasgow North West,Scotland,S14000033,SNP HOLD,"8,359","63,402",62.7%,+1.8
263,Glasgow South,Scotland,S14000034,SNP HOLD,"9,005","70,891",66.9%,+2.5
264,Glasgow South West,Scotland,S14000035,SNP HOLD,"4,900","64,575",57.1%,+0.9
265,Glenrothes,Scotland,S14000036,SNP HOLD,"11,757","65,762",63.2%,+2.3
266,Gloucester,England,E14000712,CON HOLD,"10,277","81,332",66.1%,+0.9
267,Gordon,Scotland,S14000037,SNP GAIN FROM CON,819,"79,629",70.2%,+1.9
268,Gosport,England,E14000713,CON HOLD,"23,278","73,569",65.9%,-0.9
269,Gower,Wales,W07000046,LAB HOLD,"1,837","61,762",72.0%,-1.3
270,Grantham & Stamford,England,E14000714,CON HOLD,"26,003","81,502",68.7%,-0.5
271,Gravesham,England,E14000715,CON HOLD,"15,581","73,234",64.9%,-2.2
272,Great Grimsby,England,E14000716,CON GAIN FROM LAB,"7,331","61,409",53.9%,-3.7
273,Great Yarmouth,England,E14000717,CON HOLD,"17,663","71,957",60.4%,-1.4
274,Greenwich & Woolwich,England,E14000718,LAB HOLD,"18,464","79,997",66.4%,-2.4
275,Guildford,England,E14000719,CON HOLD,"3,337","77,729",75.5%,+1.7
276,Hackney North & Stoke Newington,England,E14000720,LAB HOLD,"33,188","92,451",61.5%,-4.7
277,Hackney South & Shoreditch,England,E14000721,LAB HOLD,"33,985","89,380",60.9%,-5.7
278,Halesowen & Rowley Regis,England,E14000722,CON HOLD,"12,074","68,300",62.0%,-2.5
279,Halifax,England,E14000723,LAB HOLD,"2,569","71,904",64.6%,-3.2
280,Haltemprice & Howden,England,E14000724,CON HOLD,"20,329","71,062",70.1%,-1.9
281,Halton,England,E14000725,LAB HOLD,"18,975","71,930",64.2%,-3.2
282,Hammersmith,England,E14000726,LAB HOLD,"17,847","74,759",69.5%,-2.3
283,Hampshire East,England,E14000680,CON HOLD,"19,696","76,478",74.4%,-0.3
284,Hampshire North East,England,E14000844,CON HOLD,"20,211","78,954",75.1%,-2.2
285,Hampshire North West,England,E14000857,CON HOLD,"26,308","83,083",70.9%,-1.3
286,Hampstead & Kilburn,England,E14000727,LAB HOLD,"14,188","82,432",69.6%,-0.8
287,Harborough,England,E14000728,CON HOLD,"17,278","80,480",71.2%,-1.9
288,Harlow,England,E14000729,CON HOLD,"14,063","68,078",63.7%,-2.6
289,Harrogate & Knaresborough,England,E14000730,CON HOLD,"9,675","77,914",73.1%,-0.3
290,Harrow East,England,E14000731,CON HOLD,"8,170","72,120",68.6%,-2.2
291,Harrow West,England,E14000732,LAB HOLD,"8,692","72,477",66.1%,-6.0
292,Hartlepool,England,E14000733,LAB HOLD,"3,595","70,855",57.9%,-1.2
293,Harwich & Essex North,England,E14000734,CON HOLD,"20,182","74,153",70.1%,-1.7
294,Hastings & Rye,England,E14000735,CON HOLD,"4,043","80,524",67.4%,-2.5
295,Havant,England,E14000736,CON HOLD,"21,792","72,130",63.7%,-0.2
296,Hayes & Harlington,England,E14000737,LAB HOLD,"9,261","72,356",60.8%,-4.4
297,Hazel Grove,England,E14000738,CON HOLD,"4,423","65,457",67.6%,-2.2
298,Hemel Hempstead,England,E14000739,CON HOLD,"14,563","73,737",69.5%,-0.7
299,Hemsworth,England,E14000740,LAB HOLD,"1,180","73,726",59.6%,-4.4
300,Hendon,England,E14000741,CON HOLD,"4,230","82,661",66.6%,-1.6
301,Henley,England,E14000742,CON HOLD,"14,053","76,660",76.6%,+0.5
302,Hereford & Herefordshire South,England,E14000743,CON HOLD,"19,686","72,085",68.9%,-2.1
303,Herefordshire North,England,E14000847,CON HOLD,"24,856","70,252",72.6%,-1.4
304,Hertford & Stortford,England,E14000744,CON HOLD,"19,620","82,407",72.9%,+0.1
305,Hertfordshire North East,England,E14000845,CON HOLD,"18,189","76,123",72.7%,-0.5
306,Hertfordshire South West,England,E14000951,CON HOLD,"14,408","80,449",76.1%,+1.3
307,Hertsmere,England,E14000745,CON HOLD,"21,313","73,971",70.6%,-0.5
